id,name,age,gender,neighborhood,income,consuming_sweet_drinks
1,Talia Shapiro,23,Female,Shapira,4837,Low
2,Hadar Avraham,21,Female,Ajami,4325,High
3,Sarah Weiss,36,Female,Neve Tzedek,10174,Moderate
4,Neta David,22,Female,Shapira,4262,High
5,Daniel Weiss,21,Male,Ajami,5662,High
6,Liat Goldberg,22,Female,Shapira,4098,High
7,Liat Goldberg,25,Female,Ajami,5041,Low
8,Leah Goldberg,39,Female,Shapira,4442,High
9,Talia Dahan,33,Female,Neve Tzedek,9774,Moderate
10,David Mizrahi,29,Male,Neve Tzedek,8355,Low
11,Adam Weiss,27,Male,Neve Tzedek,9378,Low
12,Hadar Biton,23,Female,Shapira,5206,High
13,Yonatan Haddad,26,Male,Neve Tzedek,8615,Low
14,Hila Mizrahi,24,Female,Shapira,4477,High
15,Michal Ohayon,37,Female,Ajami,5397,High
16,Sarah Katz,22,Female,Ajami,5448,Low
17,Neta Goldberg,33,Female,Ajami,4583,High
18,Maya Dahan,21,Female,Ajami,4844,Low
19,Shani Ohayon,21,Female,Ajami,4238,Low
20,Uri Cohen,46,Male,Neve Tzedek,12997,Low
21,Adam Friedman,20,Male,Ajami,4284,High
22,Rotem Weiss,21,Female,Shapira,5160,Low
23,Omer Weiss,39,Male,Ajami,5115,High
24,Tamar Katz,27,Female,Ajami,5734,Low
25,Noam Azoulay,35,Male,Ajami,4100,High
26,Michal Levi,33,Female,Ajami,4289,High
27,Ben Peretz,27,Male,Neve Tzedek,12376,Low
28,Rotem Haddad,21,Female,Shapira,5160,Low
29,Hadar Mizrahi,23,Female,Shapira,5145,High
30,Esther David,27,Female,Shapira,4833,High
31,Ariel Shapiro,20,Male,Ajami,5371,High
32,Yosef Katz,26,Male,Ajami,4129,High
33,Moshe Segal,37,Male,Ajami,4335,High
34,Yonatan Bar,25,Male,Neve Tzedek,9832,Low
35,Eli Katz,23,Male,Shapira,4996,High
36,Omer Peretz,40,Male,Shapira,4354,High
37,Leah Levi,28,Female,Ajami,5035,Low
38,Roni Mizrahi,28,Female,Neve Tzedek,9824,Moderate
39,Daniel Gabai,23,Male,Shapira,4763,Low
40,Adam David,32,Male,Ajami,5454,Low
41,Tomer Avraham,46,Male,Shapira,4600,High
42,Adam Shapiro,25,Male,Shapira,5229,Low
43,Shani Peretz,38,Female,Ajami,4124,High
44,Yael Goldberg,27,Female,Shapira,4340,Low
45,Avigail Shapiro,25,Female,Neve Tzedek,9021,Moderate
46,Ben Cohen,33,Male,Shapira,5772,High
47,Noam Cohen,28,Male,Neve Tzedek,11431,Low
48,Gal Goldberg,21,Male,Ajami,4796,High
49,Hila Mizrahi,26,Female,Ajami,4123,Low
50,Avigail David,22,Female,Ajami,5696,High
51,Matan Weiss,23,Male,Ajami,5734,High
52,Shira Haddad,20,Female,Ajami,5009,High
53,Moshe Bar,27,Male,Ajami,5658,High
54,Michal Azoulay,38,Female,Neve Tzedek,8375,Low
55,Ben Shapiro,20,Male,Ajami,5109,High
56,Noa Levi,32,Female,Neve Tzedek,11221,Low
57,Omer Weiss,21,Male,Ajami,4369,High
58,Ariel Haddad,25,Male,Ajami,5798,High
59,Maya Haddad,36,Female,Shapira,5192,High
60,Dana Peretz,34,Female,Shapira,5005,Low
61,Noam Avraham,26,Male,Shapira,4142,Low
62,Michal Cohen,26,Female,Neve Tzedek,10279,Low
63,Talia Cohen,25,Female,Neve Tzedek,8818,Low
64,Lior Mizrahi,28,Male,Neve Tzedek,11476,Low
65,Sarah Avraham,26,Female,Shapira,4701,High
66,Hila Bar,39,Female,Ajami,5895,High
67,Shira Bar,26,Female,Neve Tzedek,11931,Low
68,Leah David,50,Female,Ajami,5211,High
69,Eitan Friedman,39,Male,Ajami,4803,High
70,Talia Rubin,20,Female,Ajami,4709,High
71,Michal Dahan,34,Female,Ajami,5125,High
72,Tomer Mizrahi,21,Male,Shapira,4550,High
73,Ariel Azoulay,27,Male,Neve Tzedek,10302,Moderate
74,Ido Friedman,28,Male,Shapira,5891,Low
75,Ben Gabai,32,Male,Neve Tzedek,12135,Moderate
76,Noam Peretz,26,Male,Ajami,4814,Low
77,Shani Segal,27,Female,Neve Tzedek,11473,Low
78,Sarah Gabai,25,Female,Neve Tzedek,10331,Low
79,Eitan David,34,Male,Ajami,4905,Low
80,Yosef Friedman,41,Male,Shapira,4732,High
81,Dana Weiss,22,Female,Shapira,4028,High
82,Matan Ohayon,31,Male,Ajami,5568,High
83,Shira Ohayon,24,Female,Ajami,4908,High
84,Itzhak Mizrahi,34,Male,Shapira,4624,High
85,Hila Bar,27,Female,Ajami,5584,High
86,Noa Avraham,32,Female,Ajami,4086,High
87,Liat Peretz,30,Female,Ajami,4780,High
88,Liat Mizrahi,40,Female,Neve Tzedek,12409,Moderate
89,Omer Dahan,22,Male,Ajami,4417,High
90,Avigail Friedman,38,Female,Ajami,4549,Low
91,Hila Rubin,21,Female,Shapira,4967,High
92,Uri Mizrahi,21,Male,Ajami,4747,High
93,Omer David,46,Male,Neve Tzedek,11144,Low
94,Michal Avraham,39,Female,Shapira,5119,High
95,Shira Katz,44,Female,Neve Tzedek,12786,Low
96,Talia Peretz,45,Female,Neve Tzedek,10929,Low
97,Hadar Rubin,25,Female,Ajami,4665,High
98,Yonatan Segal,28,Male,Neve Tzedek,9363,Low
99,Rotem Goldberg,46,Female,Neve Tzedek,11536,Low
100,Hila Gabai,33,Female,Neve Tzedek,10880,Low
101,Maya Bar,40,Female,Shapira,4156,Low
102,Daniel Azoulay,35,Male,Ajami,4292,Low
103,Maya Friedman,29,Female,Neve Tzedek,11824,Low
104,Maya Segal,34,Female,Shapira,4907,Low
105,Omer Cohen,25,Male,Shapira,4621,High
106,Shira Goldberg,21,Female,Ajami,5844,High
107,Hila Haddad,30,Female,Neve Tzedek,12006,Moderate
108,Eli Azoulay,53,Male,Neve Tzedek,9449,Moderate
109,Rotem Friedman,45,Female,Neve Tzedek,8449,Low
110,Tomer Azoulay,48,Male,Neve Tzedek,10722,Low
111,Avigail Mizrahi,20,Female,Ajami,5635,Low
112,Avraham Shapiro,27,Male,Shapira,4100,High
113,Ido Rubin,28,Male,Neve Tzedek,11381,Low
114,Neta Goldberg,26,Female,Neve Tzedek,8128,Low
115,Maya Segal,36,Female,Ajami,5571,High
116,Hadar Weiss,22,Female,Shapira,5824,High
117,Adi Weiss,44,Female,Ajami,4324,High
118,Adam Shapiro,25,Male,Ajami,5891,Low
119,Avraham Dahan,23,Male,Ajami,5860,High
120,Tomer Gabai,40,Male,Neve Tzedek,10171,Moderate
121,Eitan Mizrahi,36,Male,Shapira,4188,High
122,Sarah Segal,47,Female,Neve Tzedek,12661,Moderate
123,Tamar Biton,27,Female,Neve Tzedek,12242,Moderate
124,Avraham Goldberg,34,Male,Neve Tzedek,10666,Low
125,Adam Bar,28,Male,Neve Tzedek,12412,Moderate
126,Roni Ohayon,24,Female,Shapira,4981,Low
127,Leah Levi,29,Female,Neve Tzedek,12046,Low
128,Liat David,24,Female,Ajami,4872,Low
129,Hila Haddad,40,Female,Neve Tzedek,8298,Low
130,Avigail Azoulay,21,Female,Shapira,4747,High
131,Shira Levi,25,Female,Neve Tzedek,9274,Moderate
132,Gal Mizrahi,41,Male,Neve Tzedek,8738,Moderate
133,Ariel Azoulay,37,Male,Neve Tzedek,12479,Low
134,Adi David,22,Female,Shapira,5024,High
135,Adam Gabai,29,Male,Ajami,5658,High
136,Sarah Friedman,43,Female,Neve Tzedek,12751,Moderate
137,Shira Haddad,35,Female,Shapira,4160,High
138,Ido Weiss,31,Male,Ajami,4755,High
139,Esther Goldberg,20,Female,Shapira,4428,Low
