id,name,age,gender,neighborhood,income,consuming_sweet_drinks
1,Liat Cohen,33,Female,Kiryat Shalom,4586,Low
2,Ben Weiss,45,Male,Bavli,14473,Moderate
3,Yosef Ohayon,28,Male,Bavli,14794,Moderate
4,Esther Gabai,29,Female,Bavli,15770,Low
5,Ben Azoulay,35,Male,Kerem HaTeimanim,6880,Moderate
6,Yonatan Peretz,39,Male,Bavli,13313,Low
7,Maya Rubin,48,Female,Kerem HaTeimanim,6888,Low
8,Eitan Gabai,37,Male,Kiryat Shalom,5884,Low
9,Esther Peretz,28,Female,Kerem HaTeimanim,6362,Moderate
10,Leah David,30,Female,Kiryat Shalom,4904,High
11,Talia Ohayon,26,Female,Kiryat Shalom,4681,Low
12,Noa Biton,29,Female,Bavli,17260,Low
13,Hadar Bar,29,Female,Kiryat Shalom,4113,High
14,Ben Peretz,42,Male,Kiryat Shalom,4658,Low
15,Shira Dahan,41,Female,Bavli,16673,Low
16,Sarah Peretz,25,Female,Kerem HaTeimanim,6673,Low
17,Uri Haddad,32,Male,Bavli,14735,Moderate
18,Roni Peretz,28,Female,Bavli,15042,Low
19,Neta Avraham,32,Female,Kiryat Shalom,5558,High
20,Adam Levi,36,Male,Kerem HaTeimanim,6052,Low
21,Avigail Peretz,30,Female,Kerem HaTeimanim,6490,Moderate
22,Maya Dahan,28,Female,Kerem HaTeimanim,7753,Low
23,Lior Biton,33,Male,Bavli,14161,Low
24,Michal Katz,28,Female,Kerem HaTeimanim,7246,Low
25,David Azoulay,31,Male,Kiryat Shalom,4092,High
26,Lior Azoulay,30,Male,Kiryat Shalom,5266,High
27,Adam Rubin,29,Male,Kerem HaTeimanim,7547,Low
28,Ariel Rubin,26,Male,Kerem HaTeimanim,6411,Moderate
29,Avigail Rubin,26,Female,Kiryat Shalom,5356,High
30,Adam David,27,Male,Kerem HaTeimanim,7427,Moderate
31,Noa Levi,34,Female,Bavli,13319,Low
32,Esther Gabai,28,Female,Kiryat Shalom,4259,High
33,Moshe Cohen,30,Male,Kiryat Shalom,5578,Low
34,Noam Goldberg,36,Male,Bavli,17391,Low
35,Liat Shapiro,36,Female,Kiryat Shalom,5064,High
36,Gal Segal,28,Male,Bavli,16013,Low
37,Eitan Rubin,31,Male,Bavli,15750,Low
38,Hadar Mizrahi,40,Female,Kiryat Shalom,4714,High
39,Moshe Mizrahi,33,Male,Bavli,15671,Low
40,Talia Peretz,36,Female,Bavli,16975,Low
41,Noa Friedman,37,Female,Kerem HaTeimanim,6090,Low
42,Ben Rubin,35,Male,Kiryat Shalom,4256,Low
43,Avraham Katz,26,Male,Kerem HaTeimanim,7500,Low
